Titre,Company_name,stage-depart,Duree_du_stage,Convention,Types_de_stage,Prime_de_stage,Niveau_etude,Type_de_formation,Descriptif_de_la_mission
Stage en Web Design / Graphisme ( Marrakech ),Digital Speak,21/10/2020,2 mois,Sans Convention,à distance,Selon profil,Bac+2,Design,"
 <strong>QUI SOMMES-NOUS ?</strong> 
 Digital Speak passionnés de création, d’innovations, de réflexions, de nouveaux challenges, nous imaginons et concevons des identités, des dispositifs, des applications…originaux, surprenants. 
 <br/><strong>Digital Speak</strong> vous accompagne dans la digitalisation de votre business. Nous sommes experts en ecommerce et réalisons des sites et plateformes web sur-mesure. 
 <br/>Notre approche graphique est centrée autour de l’expérience utilisateur. Pour des besoins spécifiques nous réalisons des développements avancés web et mobile et connectons avec agilité vos ERP / CRM / PIM et autres plateformes web. Nous assurons également votre communication digitale à 360° pour développer votre activité.  
 <strong>Digital Speak</strong> recherche un.e stagiaire Designer Global avec une spécialité Ux/UI , poste basé à Distance. 
   
 <strong>QUI ETES-VOUS ?</strong> 
 Vous maîtrisez la suite Adobe ? 
 L'UX Design et le Design Graphique n'ont pas de secrets pour vous ? 
 Des notions en Design Thinking seraient un plus ! 
   
 Si ce descriptif vous correspond alors : N’attendez plus et rejoignez-nous ! 
   
 CE QUE NOUS POUVONS ACCOMPLIR ENSEMBLE : 
   
 Le/La stagiaire Design sera encadré.e par un Designer de l’équipe du Design Center. En tant que Designer Global, il participera en transverse aux différents projets innovants, et sera principalement positionné.e sur les projets nécessitant des compétences UX/UI. 
 Le/La stagiaire devra donc posséder les compétences et le savoir faire nécessaires à ce domaine. 
   
 Il/Elle sera également à même d'intervenir sur des activités de Design Graphique : 
 
 Participation aux Workshops Design Thinking, en immersion avec nos clients, 
 Intégration aux groupes de projets clients pour capter les thématiques pouvant être à la base de nouvelles innovations : interviews, exploration, recherches, data analytics, 
 Intégration aux équipes d’innovation, 
 Préparation des Workshops projets en support du coach innovation (exploration, analyse des tendances, pensée divergente), 
 Mise en place de la démarche Ux Design sur les projets, 
 Création d’inspiration boards, de concepts posters, de story boards. 
  "
Stage en Ressources Humaines ( Casablanca ),Cosumar,02/11/2020,1 mois,Avec Convention,à distance,Non,Bac+3,Ressources Humaines,"
 Stagiaire RH ou SI RH qui maitrise Excel qui peut commencer le stage à distance au niveau de la direction Ressources humaines du Groupe COSUMAR Casablanca   "
Stage en Contrôle de gestion ( Casablanca ),CABINET ADIL TAKY ARCHITECTE,01/11/2020,2 mois,Sans Convention,Stage en alternance,Non,Bac+2,Contrôle de gestion,"
 bonjour, je cherche stagaire en communication pour le compte d'Agence d'architecture sis à Maarif.   "
Stage en Commerce & Management ( Casablanca ),Alif Distributon,26/10/2020,2 mois,Sans Convention,Stage fonctionnel,Selon profil,Bac+2,Commerce & Management,"
 Dans le cadre du développement de nos activités, nous sommes à la recherche d'UNE commerciale en Action commerciale  . 
 Vous êtes passionné de ce métier, vous y avez acquis de solides connaissances que vous voudriez mettre en pratique au sein d'une équipe jeune et dynamique et au sein d'une entreprise qui vous offre de réelles opportunités de carrière, c'est le moment de saisir cette occasion. 
 Possibilités d'évolution.<br/> Intérêt pour le marketing.<br/> Forte capacité d'adaptation.<br/> Rigueur d'organisation et gestion multitâche.<br/> Bac +2/3 minimum ou en alternance. 
  MISSIONS: 
 Au sein d'une équipe particulièrement dynamique, vous assisterez les chef de projets /Commerciaux en particulier sur les points suivants : 
  -Prospection et prise  des RDV, <br/> -Traitement des demandes de produits cataloguent,<br/> - Qualifier le prospect : ses besoins, l'échéance des besoins, et le profil de l'entreprise.<br/> - Faire parvenir les documentations nécessaires au prospect/client.<br/> - Faire de la relance téléphonique permettant d'aller de la simple information à la signature d'un bon de commande.<br/> - Suivre et fidéliser le patrimoine clients  "
Stage en Commerce ( Casablanca ),louzidis,19/10/2020,3 mois,Sans Convention,Stage fonctionnel,Selon profil,Bac+2,Commerce,"
 Nous cherchons deux stagiaires pour découvrir et maitriser la vente Digitale pour le circuit traditionnel: 
 - suivi des recrutements clients; 
 - suivi des clients inactifs; 
 - ventes par téléphone. 
   
 la maitrise de la langue amazigh est obligatoire.  "
Stage en Gestion Comptable ( Casablanca ),louzidis,19/10/2020,3 mois,Sans Convention,Premier Emploi,Selon profil,Bac+4,Gestion Comptable,"
 nous cherchons une comptable junior pour découvrir et assurer: 
 - -l'ensemble des écritures comptables 
 -- gestion de la tésorerie; 
 -- balances clients et fournisseurs; 
 -- contrôle factures fournisseurs.  "
Stage en Système d'information & Organisation ( Aït Melloul ),TAMARIS ADVISORY,19/10/2020,3 mois,Sans Convention,Stage de fin d'études,Selon profil,Bac+2,Système d'information & Organisation,"
<h3>Stage Mission</h3>
 La société <strong>Tamaris Advisory</strong>, propose une offre de stage mission d'une période d'un mois à 3 mois en informatique de gestion ( développement et gestion d'une base de données informatique) . <br/>En coordination et en collaboration avec le chef de projet, vous participez au cœur de l'entreprise au développement, à la fiabilité et la mise en service du logiciel ( à partir d'une base de données existante). 
 <br/><strong>Missions principales</strong> 
 
 Faire un suivi quotidien du logiciel ; 
 Procéder à des saisies et à des modifications sur la base de données ; 
 Extension des fonctionnalités de la base de données existante ; 
 Développement et enrichissement du logiciel ; 
 Détection des anomalies sur la base de données ; 
 Réalisation des corrections des anomalies ; 
 Participer à d'autres missions réalisées dans le cadre de l'entreprise. 
 
 <br/><strong>Profil recherché :</strong> 
 <br/>Issu (e) d'une formation supérieure de bac + 2 en informatique de gestion. Impliqué, doté d'un esprit analytique et réactif. <br/>  
 <strong>Lieu de la mission :</strong> Zone industrielle, aït melloul.<br/><strong>Date de début de stage :</strong> 19 Octobre 2020  "
Stage en Comptabilité Audit et Finance ( Rabat ),Passage Fitness Holding,13/10/2020,3 mois,Avec Convention,Stage fonctionnel,Selon profil,Bac+3,Comptabilité Audit et Finance,"
 nous recherchons des stagiaires en comptabilté, finance Audit et contrôle de gestion ayant un BAC+2 / BAC+3 qui auront comme mission :  
 la tenue de la comptabilité générale,  
 les déclarations fiscales (TVA, IR..) 
 le recouvrement,  
 la gestion des clients,  
 la facturation,  
 etc..... 
 nous recherchons un profil ayant les qualités suivantes :  
 Esprit d'analyse, esprit d'équipe, rigueur, engagement et résistance au stress;  
 si vous êtes intéressé envoyez vos CV sur Stagiaires.ma  "
Stage en Marketing & Communication ( Rabat ),UX CENTERS,02/11/2020,3 mois,Sans Convention,Stage fonctionnel,Selon profil,Bac+3,Marketing & Communication,"
 stagiaire Marketing et communication (durée: 3 - 4 mois)<br/><br/>Fraîchement diplômé ou en cours d'étude en Marketing / Communication,<br/><br/>Vous Maîtrisez parfaitement les Réseaux sociaux : Instagram, Snapchat, Tiktok.<br/><br/>Alors ce stage est à vous.<br/>#stagiairemarketing<br/>#stagiairecommunication  "
Stage en Marketing & Communication ( Rabat ),UX CENTERS,02/11/2020,4 mois,Sans Convention,Stage fonctionnel,Non,Bac+3,Marketing & Communication,"
 stagiaire Marketing et communication (durée: 3 - 4 mois)<br/><br/>Fraîchement diplômé ou en cours d'étude en Marketing / Communication,<br/><br/>Vous Maîtrisez parfaitement les Réseaux sociaux : Instagram, Snapchat, Tiktok.<br/><br/>Alors ce stage est à vous.<br/>#stagiairemarketing<br/>#stagiairecommunication<br/><br/>  "
Stage en Assistant.e de projet communication et évènementiel ( Casablanca ),IECD Maroc,02/11/2020,6 mois,Sans Convention,Stage de fin d'études,Oui,Bac+4,Communication,"
 En partant de l’expression des besoins exprimés par les entreprises et les écoles dans le secteur de l’électricité / électrotechnique, l’IECD a démarré au Liban en 2007 le programme Graines d’Espérance (GDE) : programme qui consiste à améliorer les formations proposées par les centres de formation afin qu’elles correspondent aux besoins du marché du travail. 
 Cela passe par 5 piliers : l’amélioration des référentiels de formation, la rénovation des équipements, la formation des enseignants, la mise en place d’activités d’orientation et d’emploi, et l’amélioration de la gestion de l’école. 
 L’IECD et ses partenaires ont décidé d’essaimer cette expérience dans d’autres pays : ce programme est actuellement implanté en Côte d’Ivoire, Egypte, Liban, Maroc, Nigéria, Vietnam.  
 Au Maroc, le projet est mis en œuvre depuis 2014, et se déroule à Casablanca, Kenitra et Tétouan dans 5 centres de formation : 2 centres de formation par apprentissage (CFA) sont co-gérés directement par l’IECD, 3 centres de formation appartiennent à des structures partenaires publiques ou privés. 
 Le projet bénéficie du soutien de nombreuses entreprises, dont Schneider Electric et Nexans. En 2020, l’IECD Maroc grandit en embauchant une équipe de chargés de projet et en développement ses activités dans d’autres domaines d’expertise de l’IECD (entreprenariat, monde rural…). 
 Sous la supervision de la chargée de projet GDE, le.la stagiaire sera amené.e à réaliser les missions suivantes : 
 <strong>1– Appui à la mise en œuvre des activités de valorisation du programme GDE</strong> 
 
 Organisation et suivi d’évènements de valorisation de la formation professionnelle : séminaire, forums de l’emploi, tables rondes… 
 Appui à la mise en place des activités des CFA : activité d’orientation et d’emploi, activités sportives, culturelles et environnementales, concours… 
 Encadrement logistique des missions des experts, de formateurs ou de bailleurs 
 
 <strong>2– Sous la supervision de la chargée de projet, appui à la mise en œuvre des activités de communication de l’IECD Maroc</strong> 
 
 Visibilité des programmes sur les réseaux sociaux (Community management) 
 Rénovation et réalisation des supports de communication de l’IECD Maroc 
 Rédaction de la newsletter trimestrielle 
 Participation à des évènements externes visant à promouvoir et augmenter la visibilité du programme 
 
 <strong>3- Appuyer les activités transversales de l’IECD Maroc</strong> 
 
 Veille sur les appels à projet 
 Appui au reporting et à la collecte des indicateurs de suivi des différentes activités 
  "
Stage en Informatique & Systèmes d'Information ( Sala Al Jadida ),Axa Group Operations,02/11/2020,6 mois,Sans Convention,Stage fonctionnel,Oui,Bac+3,Informatique & Systèmes d'Information,"
<p xss=""removed"">Nous souhaitons recruter un(e) stagiaire d'une formation de Bac+4 ou plus avec une spécialisation en Gouvernance et Management des SI. 
<p xss=""removed"">  
<p xss=""removed"">Le candidat aura en charge 2 principales missions: 
 
<li xss=""removed"">Sécurité : sera en charge de la formalisation des politiques et procédure du CSO Office sur les volets sécurité physique, sécurité de l'information et la résilience opérationnelle. 
<li xss=""removed"">Aide à la gouvernance : organisation de l’agenda du GM, planification des meetings, rédaction des CR, préparation des supports 
 
<p xss=""removed"">  
<p xss=""removed"">Les compétences requises pour ce poste sont les suivantes : 
<p xss=""removed"">• Sens de l'organisation 
<p xss=""removed"">• Rigueur 
<p xss=""removed"">• Respect des données confidentielles 
<p xss=""removed"">• Bon niveau en Français/Anglais 
<p xss=""removed"">  
<p xss=""removed"">Poste basé à Technopolis (à Sala Al Jadida).  "
Stage en Marketing Digital ( Casablanca ),G&S,15/10/2020,3 mois,Sans Convention,Stage d'observation,Oui,Bac+2,Marketing Digital,"
 Bonjour  
 Nous sommes interessé par un stagiaire avec des connaissances concretes en marketing digital notamment facebook avec prime genereuse. 
 Nos remerciements  "
